t,x,y,yaw,u,tl,tr,delta,wp
4.3,0.000,-0.000,-0.000,-0.000,51.5,51.5,0.000,0
4.6,0.000,-0.000,-0.000,-0.000,51.5,51.5,0.000,0
4.9,0.000,-0.000,-0.000,0.000,51.5,51.5,0.000,0
5.2,0.000,0.000,0.000,0.007,51.5,51.5,0.000,0
5.5,0.038,0.000,0.000,0.212,51.5,51.1,0.000,0
5.8,0.138,0.000,0.000,0.415,51.5,51.1,0.000,0
6.1,0.297,0.000,0.001,0.614,51.5,51.1,0.000,0
6.4,0.515,0.000,0.001,0.806,51.5,51.2,0.000,0
6.7,0.789,0.000,0.001,0.989,51.4,51.5,0.000,0
7.0,1.117,0.001,0.000,1.164,41.7,42.2,0.000,0
7.3,1.495,0.001,-0.000,1.329,20.9,21.7,0.000,0
7.6,1.921,0.001,-0.001,1.484,1.4,2.5,0.000,0
7.9,2.392,0.001,-0.002,1.628,0.0,0.9,0.000,0
8.2,2.898,0.000,-0.002,1.723,0.0,0.5,0.000,0
8.5,3.417,-0.000,-0.001,1.732,0.2,0.0,0.000,0
8.8,3.925,-0.001,-0.000,1.668,1.2,0.0,0.000,0
9.1,4.414,-0.001,0.002,1.604,3.7,0.0,0.000,0
9.4,4.885,-0.001,0.005,1.546,5.9,0.0,0.000,0
9.7,5.338,-0.001,0.008,1.487,5.3,0.0,0.000,0
10.0,5.775,0.001,0.009,1.434,10.2,6.3,0.000,0
10.3,6.197,0.002,0.007,1.389,13.8,13.9,0.000,0
10.6,6.607,0.004,0.002,1.351,15.6,21.5,0.000,0
10.9,7.006,0.006,-0.005,1.315,17.5,28.6,0.000,0
11.2,7.396,0.007,-0.017,1.291,15.8,36.3,0.000,0
11.5,7.786,0.005,-0.027,1.303,15.1,34.1,0.000,0
11.8,8.182,0.001,-0.030,1.331,15.0,27.2,0.000,0
12.1,8.586,-0.005,-0.028,1.362,13.1,21.3,0.000,0
12.4,9.000,-0.013,-0.024,1.392,11.6,15.4,0.000,0
12.7,9.426,-0.022,-0.010,1.438,15.2,0.4,0.000,0
13.0,9.862,-0.029,0.010,1.467,25.5,0.0,0.000,0
13.3,10.304,-0.033,0.030,1.479,31.8,0.0,0.000,0
13.6,10.748,-0.033,0.047,1.475,33.3,0.0,0.000,0
13.9,11.186,-0.027,0.051,1.451,16.1,0.0,0.000,0
14.2,11.621,-0.017,0.037,1.448,1.2,11.6,0.000,0
14.5,12.057,-0.005,0.004,1.457,0.0,41.5,0.000,0
14.8,12.496,0.003,-0.042,1.466,0.0,51.5,0.000,0
15.1,12.932,0.004,-0.089,1.439,0.0,51.5,0.000,0
15.4,13.361,-0.005,-0.132,1.415,0.0,51.5,0.000,0
15.7,13.791,-0.027,-0.142,1.444,0.0,48.5,0.000,0
16.0,14.233,-0.061,-0.111,1.494,3.8,0.0,0.000,0
16.3,14.687,-0.100,-0.050,1.538,51.5,0.0,0.000,0
16.6,15.155,-0.135,0.029,1.572,51.5,0.0,0.000,0
16.9,15.633,-0.156,0.118,1.587,51.5,0.0,0.000,0
17.2,16.102,-0.157,0.187,1.520,51.5,0.0,0.000,0
17.5,16.569,-0.134,0.203,1.557,51.5,0.0,0.000,0
17.8,17.044,-0.090,0.172,1.601,13.9,0.0,0.000,0
18.1,17.529,-0.035,0.113,1.641,0.0,33.7,0.000,0
18.4,18.024,0.021,0.034,1.671,0.0,51.5,0.000,1
18.7,18.529,0.066,-0.057,1.686,0.0,51.5,0.000,1
19.0,19.029,0.092,-0.136,1.627,0.0,51.5,0.000,1
19.3,19.521,0.093,-0.173,1.618,0.0,51.5,0.000,1
19.6,20.016,0.070,-0.161,1.655,0.0,51.5,0.000,1
19.9,20.519,0.031,-0.112,1.692,0.0,51.5,0.000,1
20.2,21.030,-0.013,-0.041,1.722,0.0,51.5,0.000,1
20.5,21.550,-0.051,0.045,1.740,0.0,51.5,0.000,1
20.8,22.078,-0.071,0.141,1.746,0.0,51.5,0.000,1
21.1,22.610,-0.064,0.242,1.742,0.0,51.5,0.000,1
21.4,23.141,-0.023,0.347,1.731,0.0,51.5,0.000,1
21.7,23.667,0.058,0.454,1.713,0.0,51.5,0.000,1
22.0,24.183,0.182,0.563,1.692,0.0,51.5,0.000,1
