t,x,y,yaw,u,tl,tr,delta,wp
4.3,0.000,0.000,0.000,0.000,51.5,51.5,0.000,0
4.6,0.000,0.000,0.000,0.000,51.5,51.5,0.000,0
4.9,0.001,0.000,0.000,0.000,51.5,51.5,0.000,0
5.2,0.001,0.000,0.000,0.002,51.5,51.5,0.000,0
5.5,0.036,0.000,0.000,0.203,50.4,51.5,0.000,0
5.8,0.132,0.000,0.002,0.405,44.3,46.7,0.000,0
6.1,0.288,0.000,0.004,0.598,19.4,23.4,0.000,0
6.4,0.499,0.001,0.006,0.777,0.0,5.6,0.000,0
6.7,0.760,0.002,0.010,0.932,0.0,8.6,0.000,0
7.0,1.058,0.004,0.015,1.033,0.0,13.1,0.000,0
7.3,1.365,0.007,0.023,1.010,0.0,18.6,0.000,0
7.6,1.649,0.012,0.033,0.900,0.0,25.6,0.000,0
7.9,1.900,0.018,0.047,0.791,0.0,35.9,0.000,0
8.2,2.119,0.028,0.066,0.687,0.0,50.9,0.000,0
8.5,2.308,0.041,0.094,0.592,0.0,51.5,0.000,0
8.8,2.470,0.062,0.133,0.509,0.0,51.5,0.000,0
9.1,2.609,0.093,0.187,0.447,0.0,51.5,0.000,0
9.4,2.730,0.140,0.260,0.422,0.0,51.5,0.000,0
9.7,2.841,0.210,0.352,0.432,0.0,51.5,0.000,0
10.0,2.954,0.300,0.448,0.495,0.0,51.5,0.000,0
10.3,3.090,0.397,0.523,0.587,0.0,51.5,0.000,0
10.6,3.253,0.498,0.541,0.680,0.0,51.5,0.000,0
10.9,3.444,0.608,0.490,0.771,0.0,51.5,0.000,0
11.2,3.660,0.727,0.399,0.852,0.0,51.5,0.000,0
11.5,3.900,0.847,0.295,0.912,0.0,51.5,0.000,0
11.8,4.161,0.961,0.188,0.955,0.0,51.5,0.000,0
12.1,4.443,1.061,0.080,0.990,0.0,51.5,0.000,0
12.4,4.744,1.139,-0.029,1.022,0.0,51.5,0.000,0
12.7,5.061,1.193,-0.138,1.051,0.0,51.5,0.000,0
13.0,5.393,1.217,-0.248,1.079,0.0,51.5,0.000,0
13.3,5.734,1.208,-0.359,1.104,0.0,40.2,0.000,0
13.6,6.081,1.165,-0.470,1.128,5.2,0.0,0.000,0
13.9,6.429,1.084,-0.580,1.149,51.5,0.0,0.000,0
14.2,6.774,0.964,-0.691,1.168,51.5,0.0,0.000,0
14.5,7.107,0.809,-0.797,1.164,51.5,0.0,0.000,0
14.8,7.414,0.630,-0.872,1.106,51.5,0.0,0.000,0
15.1,7.691,0.437,-0.915,1.065,51.5,0.0,0.000,0
15.4,7.950,0.222,-0.920,1.120,51.5,0.0,0.000,0
15.7,8.205,-0.021,-0.883,1.190,51.5,0.0,0.000,0
16.0,8.463,-0.285,-0.819,1.255,51.5,0.0,0.000,0
16.3,8.731,-0.563,-0.737,1.308,51.5,0.0,0.000,0
16.6,9.017,-0.845,-0.645,1.349,51.5,0.0,0.000,0
16.9,9.323,-1.125,-0.546,1.379,51.5,0.0,0.000,0
17.2,9.653,-1.392,-0.442,1.398,51.5,0.0,0.000,0
17.5,10.007,-1.640,-0.336,1.410,51.5,0.0,0.000,0
17.8,10.384,-1.862,-0.227,1.414,51.5,0.0,0.000,0
18.1,10.782,-2.051,-0.118,1.414,51.5,0.0,0.000,0
18.4,11.196,-2.203,-0.008,1.410,51.5,0.0,0.000,0
18.7,11.624,-2.314,0.103,1.403,51.5,0.0,0.000,0
19.0,12.059,-2.382,0.214,1.395,51.5,0.0,0.000,0
19.3,12.498,-2.404,0.326,1.386,51.5,0.0,0.000,0
19.6,12.934,-2.380,0.437,1.376,51.5,0.0,0.000,0
19.9,13.363,-2.311,0.549,1.366,19.1,0.0,0.000,0
20.2,13.780,-2.195,0.660,1.356,0.0,30.1,0.000,0
20.5,14.179,-2.037,0.772,1.347,0.0,51.5,0.000,0
20.8,14.555,-1.837,0.883,1.335,0.0,51.5,0.000,0
21.1,14.899,-1.607,0.979,1.272,0.0,51.5,0.000,0
21.4,15.209,-1.350,1.043,1.281,0.0,51.5,0.000,0
21.7,15.494,-1.062,1.054,1.324,0.0,51.5,0.000,0
22.0,15.761,-0.748,1.021,1.377,0.0,51.5,0.000,0
