t,x,y,yaw,u,tl,tr,delta,wp,err,r,moment
4.3,0.000,0.000,0.000,0.000,41.2,41.2,0.000,0,0.000,0.000,-0.0
4.6,0.000,-0.000,-0.000,0.000,41.2,41.2,-0.000,0,0.000,0.000,0.0
4.9,0.000,-0.000,-0.000,0.000,41.2,41.2,-0.000,0,0.000,0.000,0.0
5.2,0.000,0.000,0.000,0.008,41.2,41.2,0.072,0,-0.000,0.000,-0.0
5.5,0.031,0.000,0.000,0.172,41.2,41.2,0.274,0,-0.000,0.001,-0.1
5.8,0.112,0.000,0.000,0.334,41.2,41.2,0.030,0,-0.000,0.000,-0.1
6.1,0.240,0.000,0.000,0.493,34.5,34.5,0.015,0,-0.000,-0.000,-0.1
6.4,0.415,0.001,-0.001,0.648,15.2,15.2,-0.274,0,0.001,-0.012,1.7
6.7,0.635,0.004,-0.014,0.795,-0.0,0.0,-0.305,0,0.014,-0.064,10.5
7.0,0.899,0.007,-0.031,0.938,-0.0,0.0,-0.305,0,0.030,-0.045,10.5
7.3,1.200,0.006,-0.040,1.047,-0.0,0.0,-0.305,0,0.039,-0.020,8.7
7.6,1.519,-0.004,-0.027,1.076,0.0,-0.0,0.305,0,0.028,0.081,-6.2
7.9,1.846,-0.021,0.009,1.098,0.0,-0.0,0.305,0,-0.006,0.141,-19.4
8.2,2.175,-0.038,0.059,1.087,0.0,-0.0,0.305,0,-0.055,0.176,-31.4
8.5,2.496,-0.049,0.107,1.047,0.0,-0.0,0.305,0,-0.101,0.148,-35.0
8.8,2.807,-0.044,0.123,1.019,0.0,-0.0,0.305,0,-0.117,-0.017,-16.0
9.1,3.107,-0.023,0.099,0.990,0.0,0.0,0.007,0,-0.096,-0.113,-0.1
9.4,3.397,0.007,0.059,0.959,-0.0,0.0,-0.305,0,-0.059,-0.142,9.3
9.7,3.678,0.037,0.015,0.927,-0.0,0.0,-0.305,0,-0.020,-0.142,15.4
10.0,3.951,0.064,-0.026,0.895,-0.0,0.0,-0.305,0,0.017,-0.133,20.0
10.3,4.215,0.085,-0.063,0.865,-0.0,0.0,-0.305,0,0.053,-0.121,23.9
10.6,4.472,0.094,-0.079,0.845,-0.0,0.0,-0.305,0,0.067,-0.000,10.5
