t,x,y,yaw,u,tl,tr,delta,wp,err,r,moment
4.3,0.000,0.000,-0.000,0.000,157.9,157.9,0.000,0,0.000,-0.000,0.0
4.6,0.000,0.000,-0.000,0.000,157.9,157.9,0.000,0,0.000,0.000,-0.0
4.9,0.000,0.000,-0.000,0.000,157.9,157.9,0.000,0,0.000,0.000,-0.0
5.2,0.001,0.000,0.000,0.024,157.9,157.9,0.000,0,-0.000,0.000,-0.0
5.5,0.171,0.000,0.000,0.960,157.9,157.7,0.000,0,-0.000,0.000,-0.1
5.8,0.621,0.000,0.000,1.881,157.9,157.9,0.000,0,-0.000,0.000,-0.0
6.1,1.340,0.000,0.000,2.758,157.9,157.9,0.000,0,-0.000,0.000,-0.0
6.4,2.312,0.000,0.000,3.577,157.9,157.9,0.000,0,-0.000,0.000,-0.0
6.7,3.519,0.000,0.000,4.332,137.9,137.9,0.000,0,-0.000,0.000,-0.0
7.0,4.940,0.000,0.000,5.017,81.3,81.3,0.000,0,-0.000,0.000,-0.0
7.3,6.554,0.001,0.000,5.630,30.6,30.6,0.000,0,-0.000,0.000,-0.0
7.6,8.340,0.001,0.000,6.169,0.0,0.0,0.000,0,-0.000,-0.000,-0.0
7.9,10.255,0.001,0.000,6.527,2.4,0.0,0.000,0,-0.000,0.003,-0.8
8.2,12.241,0.002,0.010,6.667,35.8,0.0,0.000,0,-0.011,0.044,-11.5
8.5,14.186,0.013,0.016,6.350,11.1,0.0,0.000,0,-0.017,0.008,-3.6
8.8,16.012,0.033,0.017,5.904,11.3,4.5,0.000,0,-0.019,0.001,-2.2
9.1,17.713,0.056,0.017,5.511,43.5,37.3,0.000,0,-0.021,-0.000,-2.0
9.4,19.320,0.081,0.011,5.257,53.7,69.2,0.000,0,-0.016,-0.028,5.0
9.7,20.846,0.101,0.006,4.969,81.8,88.7,0.000,0,-0.012,-0.014,2.2
10.0,22.293,0.115,0.003,4.726,104.4,106.2,0.000,0,-0.010,-0.006,0.6
10.3,23.688,0.124,0.007,4.605,19.0,0.0,0.000,0,-0.014,0.020,-6.1
10.6,25.087,0.134,0.012,4.703,18.9,0.0,0.000,0,-0.020,0.018,-6.1
10.9,26.523,0.148,0.021,4.851,0.0,157.9,0.000,1,1.463,0.033,133.3
11.2,28.010,0.173,0.034,5.017,0.0,157.9,0.000,1,1.537,0.046,137.6
11.5,29.473,0.209,0.036,4.779,0.0,157.9,0.000,1,1.622,-0.007,158.2
11.8,30.868,0.252,0.033,4.576,0.0,157.9,0.000,1,1.707,-0.007,166.4
12.1,32.275,0.299,0.060,4.776,0.0,157.9,0.000,1,1.760,0.130,139.3
12.4,33.738,0.373,0.104,4.954,0.0,157.9,0.000,1,1.796,0.156,136.6
12.7,35.249,0.495,0.152,5.109,0.0,157.9,0.000,1,1.826,0.161,138.5
13.0,36.797,0.684,0.200,5.246,0.0,157.9,0.000,1,1.853,0.161,140.8
13.3,38.373,0.947,0.249,5.366,0.0,157.9,0.000,1,1.875,0.162,142.9
13.6,39.968,1.289,0.297,5.472,0.0,157.9,0.000,1,1.893,0.162,144.6
13.9,41.574,1.715,0.346,5.566,0.0,157.9,0.000,1,1.905,0.162,145.8
14.2,43.183,2.225,0.394,5.649,0.0,157.9,0.000,1,1.911,0.162,146.4
14.5,44.787,2.820,0.443,5.721,0.0,157.9,0.000,1,1.913,0.162,146.6
14.8,46.379,3.500,0.491,5.785,0.0,157.9,0.000,1,1.910,0.162,146.2
15.1,47.953,4.263,0.540,5.842,0.0,157.9,0.000,1,1.902,0.162,145.5
15.4,49.502,5.109,0.588,5.891,0.0,157.9,0.000,1,1.890,0.162,144.3
15.7,51.019,6.037,0.637,5.934,0.0,157.9,0.000,1,1.874,0.162,142.8
16.0,52.500,7.043,0.685,5.972,0.0,157.9,0.000,1,1.855,0.162,141.0
16.3,53.939,8.127,0.734,6.006,0.0,157.9,0.000,1,1.833,0.162,138.8
16.6,55.331,9.284,0.782,6.035,0.0,157.9,0.000,1,1.808,0.162,136.4
16.9,56.672,10.514,0.831,6.060,0.0,157.9,0.000,1,1.781,0.162,133.8
17.2,57.956,11.812,0.880,6.083,0.0,157.9,0.000,1,1.751,0.162,130.9
17.5,59.180,13.175,0.928,6.102,0.0,157.9,0.000,1,1.719,0.162,127.9
17.8,60.339,14.600,0.977,6.119,0.0,157.9,0.000,1,1.686,0.162,124.6
18.1,61.431,16.083,1.025,6.134,0.0,157.9,0.000,1,1.651,0.162,121.2
18.4,62.453,17.621,1.074,6.147,0.0,157.9,0.000,1,1.614,0.162,117.7
18.7,63.400,19.210,1.122,6.158,0.0,157.9,0.000,1,1.576,0.162,114.1
19.0,64.270,20.846,1.171,6.168,0.0,157.9,0.000,1,1.537,0.162,110.3
19.3,65.062,22.524,1.219,6.177,0.0,157.9,0.000,1,1.497,0.162,106.4
19.6,65.772,24.242,1.268,6.184,0.0,157.9,0.000,1,1.455,0.162,102.4
19.9,66.399,25.993,1.316,6.191,0.0,157.9,0.000,1,1.413,0.162,98.3
20.2,66.940,27.775,1.365,6.197,0.0,157.9,0.000,1,1.369,0.162,94.1
20.5,67.395,29.582,1.413,6.202,0.0,157.9,0.000,2,1.822,0.162,137.8
20.8,67.762,31.411,1.462,6.206,0.0,157.9,0.000,2,1.880,0.162,143.4
21.1,68.040,33.256,1.510,6.210,0.0,157.9,0.000,2,1.934,0.162,148.6
21.4,68.228,35.114,1.559,6.213,0.0,157.9,0.000,2,1.983,0.162,153.3
