t,x,y,yaw,u,tl,tr,delta,wp,err,r,moment
4.3,-0.000,-0.000,0.000,-0.000,157.9,157.9,0.000,0,0.000,0.000,-0.0
4.6,-0.000,-0.000,0.000,0.000,126.3,126.3,-0.000,0,0.000,0.000,0.0
4.9,-0.000,-0.000,0.000,-0.000,157.9,157.9,0.000,0,0.000,0.000,-0.0
5.2,0.001,-0.000,-0.000,0.029,125.4,127.2,-0.305,0,0.000,-0.002,0.6
5.5,0.172,-0.000,-0.001,0.958,126.3,126.3,-0.026,0,0.001,-0.000,0.2
5.8,0.589,-0.000,-0.001,1.697,126.3,126.3,-0.003,0,0.001,-0.000,0.1
6.1,1.254,-0.001,-0.001,2.578,126.3,126.3,-0.002,0,0.001,-0.000,0.1
6.4,2.159,-0.002,-0.004,3.319,126.3,126.3,-0.044,0,0.004,-0.013,3.4
6.7,3.259,-0.009,-0.000,3.909,126.3,126.3,0.040,0,0.001,0.018,-4.2
7.0,4.528,-0.014,0.002,4.449,126.3,126.3,0.008,0,-0.001,0.005,-1.1
7.3,5.949,-0.015,0.003,4.937,87.9,87.9,0.010,0,-0.002,0.006,-1.6
7.6,7.508,-0.018,0.014,5.374,51.8,51.8,0.052,0,-0.013,0.039,-10.4
7.9,9.189,-0.002,0.004,5.763,19.6,19.6,-0.044,0,-0.004,-0.045,10.1
8.2,10.979,0.016,-0.009,6.094,0.0,0.0,-0.039,0,0.008,-0.039,10.0
8.5,12.822,0.017,-0.012,6.177,0.0,0.0,-0.015,0,0.011,-0.012,3.9
8.8,14.653,0.013,-0.028,6.040,0.0,0.0,-0.051,0,0.027,-0.043,12.9
9.1,16.413,-0.020,-0.015,5.745,21.1,21.1,0.045,0,0.016,0.051,-10.4
9.4,18.080,-0.055,-0.003,5.429,47.2,47.2,0.039,0,0.006,0.037,-8.0
9.7,19.658,-0.082,0.008,5.142,70.9,70.9,0.048,0,-0.003,0.036,-8.8
10.0,21.146,-0.097,0.021,4.834,96.4,96.4,0.074,0,-0.016,0.045,-12.1
10.3,22.558,-0.096,0.032,4.618,100.4,100.4,0.063,0,-0.027,0.029,-9.3
10.6,23.922,-0.073,0.020,4.498,0.0,0.0,-0.080,0,-0.016,-0.054,11.2
10.9,25.252,-0.047,0.002,4.389,94.7,157.9,-0.305,1,1.406,-0.059,149.6
11.2,26.551,-0.032,-0.015,4.305,94.7,157.9,-0.305,1,1.500,-0.057,158.1
11.5,27.903,-0.032,-0.031,4.629,68.8,157.9,-0.305,1,1.596,-0.048,165.4
