t,x,y,yaw,u,tl,tr,delta,wp,err,r,moment
4.3,0.000,0.000,-0.000,0.000,63.7,63.7,0.000,0,0.000,-0.000,0.0
4.6,0.000,0.000,-0.000,0.000,63.7,63.7,0.000,0,0.000,0.000,-0.0
4.9,0.000,0.000,-0.000,0.000,63.7,63.7,0.000,0,0.000,0.000,-0.0
5.2,0.000,0.000,0.000,0.010,62.9,62.9,0.000,0,-0.000,0.000,-0.0
5.5,0.069,0.000,0.000,0.388,31.6,31.6,0.000,0,-0.000,0.000,-0.0
5.8,0.251,0.000,0.000,0.764,0.5,0.5,0.000,0,-0.000,0.000,-0.0
6.1,0.545,0.000,0.000,1.129,0.0,0.0,0.000,0,-0.000,0.000,-0.0
6.4,0.945,0.000,0.000,1.475,0.0,0.0,0.000,0,-0.000,-0.000,-0.0
6.7,1.414,0.000,0.000,1.618,0.0,0.0,0.000,0,-0.000,-0.000,0.0
7.0,1.892,0.000,-0.000,1.575,0.0,0.0,0.000,0,0.000,0.000,0.0
7.3,2.357,0.000,-0.000,1.530,0.0,0.0,0.000,0,0.000,0.000,0.0
7.6,2.808,0.000,-0.000,1.487,0.0,0.0,0.000,0,0.000,0.000,0.0
7.9,3.247,0.000,-0.000,1.445,0.0,0.0,0.000,0,0.000,0.000,0.0
8.2,3.673,0.000,-0.000,1.405,0.0,0.0,0.000,0,0.000,0.000,0.0
8.5,4.088,0.000,-0.000,1.367,0.0,0.0,0.000,0,0.000,0.000,0.0
8.8,4.492,0.000,-0.000,1.331,0.0,0.0,0.000,0,0.000,0.000,0.0
9.1,4.885,0.000,-0.000,1.295,0.0,0.0,0.000,0,0.000,0.000,0.0
9.4,5.268,0.000,-0.000,1.261,0.0,0.0,0.000,0,0.000,0.000,0.0
9.7,5.640,0.000,-0.000,1.229,0.0,0.0,0.000,0,0.000,0.000,0.0
10.0,6.003,0.000,-0.000,1.197,0.0,0.0,0.000,0,0.000,0.000,0.0
10.3,6.357,0.000,-0.000,1.167,0.0,0.0,0.000,0,0.000,0.000,0.0
10.6,6.702,0.000,-0.000,1.138,0.0,0.0,0.000,0,0.000,0.000,0.0
10.9,7.038,0.000,-0.000,1.110,0.0,0.0,0.000,0,0.000,0.000,0.0
11.2,7.366,-0.000,-0.000,1.082,0.0,0.0,0.000,0,0.000,0.000,0.0
11.5,7.687,-0.000,-0.000,1.056,0.0,0.0,0.000,0,0.000,0.000,0.0
11.8,7.999,-0.000,-0.000,1.031,0.0,0.0,0.000,0,0.000,0.000,0.0
12.1,8.304,-0.000,-0.000,1.006,0.0,0.0,0.000,0,0.000,0.000,0.0
12.4,8.601,-0.000,-0.000,0.982,0.0,0.0,0.000,0,0.000,0.000,0.0
12.7,8.892,-0.000,-0.000,0.960,0.0,0.0,0.000,0,0.000,0.000,0.0
13.0,9.176,-0.000,-0.000,0.937,0.0,0.0,0.000,0,0.000,0.000,0.0
13.3,9.454,-0.000,-0.000,0.916,0.0,0.0,0.000,0,0.000,0.000,0.0
13.6,9.725,-0.000,-0.000,0.895,0.0,0.0,0.000,0,0.000,0.000,0.0
13.9,9.990,-0.000,-0.000,0.875,0.0,0.0,0.000,0,0.000,0.000,0.0
14.2,10.249,-0.000,-0.000,0.855,0.0,0.0,0.000,0,0.000,0.000,0.0
