t,x,y,yaw,u,tl,tr,delta,wp,err,r,moment
4.3,-0.000,-0.000,0.000,-0.000,63.7,63.7,0.000,0,0.000,0.000,-0.0
4.6,-0.000,-0.000,0.000,0.000,63.7,63.7,-0.000,0,0.000,0.000,0.0
4.9,-0.000,-0.000,0.000,-0.000,63.7,63.7,0.000,0,0.000,0.000,-0.0
5.2,0.000,0.000,0.000,0.006,63.1,63.1,0.015,0,-0.000,0.000,-0.0
5.5,0.066,0.000,0.000,0.379,32.3,32.3,0.018,0,-0.000,0.000,-0.0
5.8,0.246,0.000,0.000,0.754,1.3,1.3,0.001,0,-0.000,0.000,-0.0
6.1,0.536,0.000,0.000,1.118,0.0,0.0,0.000,0,-0.000,0.000,-0.0
6.4,0.933,0.000,-0.000,1.460,0.0,0.0,-0.043,0,0.000,-0.003,0.6
6.7,1.398,0.001,-0.002,1.606,0.0,0.0,-0.065,0,0.001,-0.004,1.2
7.0,1.873,0.001,-0.002,1.569,0.0,0.0,-0.031,0,0.002,-0.001,0.5
7.3,2.336,0.001,-0.002,1.524,0.0,0.0,-0.022,0,0.002,-0.001,0.4
7.6,2.786,0.000,-0.003,1.481,0.0,0.0,-0.012,0,0.003,0.000,0.2
7.9,3.223,-0.002,-0.000,1.440,0.0,0.0,0.187,0,0.000,0.012,-2.7
8.2,3.648,-0.005,0.003,1.400,0.0,0.0,0.159,0,-0.002,0.008,-2.2
8.5,4.061,-0.006,0.005,1.362,0.0,0.0,0.168,0,-0.005,0.007,-2.2
8.8,4.463,-0.007,0.006,1.326,0.0,0.0,0.102,0,-0.006,0.003,-1.2
9.1,4.855,-0.003,0.001,1.290,-0.0,0.0,-0.305,0,-0.001,-0.027,6.1
9.4,5.235,0.004,-0.008,1.254,-0.0,0.0,-0.305,0,0.008,-0.034,8.8
9.7,5.606,0.011,-0.019,1.219,-0.0,0.0,-0.305,0,0.018,-0.036,10.1
10.0,5.966,0.016,-0.029,1.186,-0.0,0.0,-0.305,0,0.028,-0.034,10.8
10.3,6.316,0.014,-0.032,1.156,0.0,0.0,-0.039,0,0.031,0.011,0.4
10.6,6.658,0.003,-0.023,1.126,0.0,-0.0,0.305,0,0.023,0.036,-6.1
10.9,6.990,-0.013,-0.011,1.095,0.0,-0.0,0.305,0,0.012,0.045,-9.5
11.2,7.313,-0.029,0.003,1.063,0.0,-0.0,0.305,0,-0.001,0.047,-11.1
11.5,7.627,-0.041,0.013,1.036,0.0,-0.0,0.305,0,-0.010,0.022,-6.3
11.8,7.934,-0.044,0.012,1.011,-0.0,0.0,-0.305,0,-0.010,-0.014,2.4
12.1,8.233,-0.039,0.005,0.986,-0.0,0.0,-0.305,0,-0.003,-0.031,7.0
12.4,8.524,-0.031,-0.006,0.961,-0.0,0.0,-0.305,0,0.008,-0.037,9.5
12.7,8.808,-0.022,-0.017,0.935,-0.0,0.0,-0.305,0,0.018,-0.038,10.8
13.0,9.085,-0.017,-0.023,0.913,-0.0,0.0,-0.305,0,0.024,-0.003,3.0
13.3,9.355,-0.021,-0.019,0.892,0.0,-0.0,0.305,0,0.020,0.019,-2.6
13.6,9.619,-0.029,-0.012,0.871,0.0,-0.0,0.305,0,0.013,0.029,-5.5
13.9,9.876,-0.040,-0.002,0.849,0.0,-0.0,0.305,0,0.004,0.032,-7.2
