t,x,y,yaw,u,tl,tr,delta,wp,err,r,moment
4.3,0.000,0.000,0.000,0.000,41.2,41.2,0.000,0,0.000,0.000,-0.0
4.6,0.000,-0.000,-0.000,0.000,41.2,41.2,-0.000,0,0.000,0.000,0.0
4.9,0.000,-0.000,-0.000,0.000,41.2,41.2,-0.000,0,0.000,0.000,0.0
5.2,0.000,0.000,0.000,0.006,41.2,41.2,0.043,0,-0.000,0.000,-0.0
5.5,0.031,0.000,0.000,0.169,41.2,41.2,0.283,0,-0.000,0.001,-0.1
5.8,0.110,0.000,0.000,0.332,41.2,41.2,0.031,0,-0.000,0.000,-0.1
6.1,0.237,0.000,0.000,0.491,41.2,41.2,0.017,0,-0.000,0.000,-0.1
6.4,0.412,0.000,-0.001,0.645,41.2,41.2,-0.161,0,0.001,-0.007,1.0
6.7,0.631,0.003,-0.012,0.793,32.7,49.7,-0.305,0,0.011,-0.060,9.5
7.0,0.894,0.009,-0.038,0.933,30.9,51.5,-0.305,0,0.037,-0.105,19.4
7.3,1.199,0.011,-0.061,1.069,30.9,51.5,-0.305,0,0.059,-0.053,16.1
7.6,1.542,-0.000,-0.056,1.200,37.4,37.4,-0.047,0,0.056,0.059,1.0
7.9,1.923,-0.024,-0.011,1.317,41.4,4.2,0.305,0,0.015,0.190,-22.5
8.2,2.336,-0.048,0.054,1.419,20.2,-0.0,0.305,0,-0.047,0.228,-37.1
8.5,2.782,-0.062,0.124,1.513,0.0,-0.0,0.305,0,-0.116,0.230,-48.0
8.8,3.252,-0.049,0.160,1.586,0.0,-0.0,0.305,0,-0.154,0.063,-32.0
9.1,3.732,-0.006,0.124,1.616,0.0,0.0,-0.207,0,-0.123,-0.208,8.0
9.4,4.217,0.047,0.046,1.626,-0.0,0.0,-0.305,0,-0.052,-0.277,28.0
9.7,4.691,0.095,-0.026,1.550,-0.0,0.0,-0.305,0,0.014,-0.220,30.7
10.0,5.145,0.131,-0.086,1.474,-0.0,6.5,-0.305,0,0.070,-0.191,35.6
10.3,5.580,0.152,-0.139,1.403,-0.0,24.1,-0.305,0,0.120,-0.164,40.0
10.6,5.997,0.145,-0.145,1.359,15.7,19.5,-0.305,0,0.127,0.075,9.8
