t,x,y,yaw,u,tl,tr,delta,wp
4.1,0.002,0.000,0.000,0.001,25.8,25.8,-0.000,0
4.4,0.002,0.000,-0.000,0.001,25.8,25.8,0.000,0
4.7,0.003,0.000,-0.000,0.001,25.8,25.8,0.000,0
5.0,0.004,0.000,0.000,0.008,25.8,25.8,-0.043,0
5.3,0.024,0.000,0.001,0.108,25.8,25.8,-0.248,0
5.6,0.072,0.000,0.002,0.198,25.8,25.8,-0.141,0
5.9,0.144,0.000,0.003,0.269,25.8,25.8,-0.109,0
6.2,0.234,0.001,0.006,0.315,25.8,25.8,-0.125,0
6.5,0.332,0.001,0.011,0.333,25.8,25.8,-0.234,0
6.8,0.431,0.001,0.018,0.321,25.8,25.8,-0.339,0
7.1,0.521,0.002,0.025,0.285,25.8,25.8,-0.526,0
7.4,0.598,0.005,0.034,0.232,25.8,25.8,-0.611,0
7.7,0.657,0.010,0.042,0.176,25.8,25.8,-0.611,0
8.0,0.701,0.019,0.053,0.128,25.8,25.8,-0.611,0
8.3,0.733,0.031,0.066,0.097,25.8,25.8,-0.611,0
8.6,0.758,0.048,0.083,0.084,25.8,25.8,-0.611,0
8.9,0.782,0.070,0.110,0.089,25.8,25.8,-0.611,0
9.2,0.809,0.097,0.154,0.112,25.8,25.8,-0.611,0
9.5,0.844,0.126,0.226,0.152,25.8,25.8,-0.611,0
9.8,0.892,0.152,0.337,0.196,25.8,25.8,-0.611,0
10.1,0.954,0.170,0.477,0.214,25.8,25.8,-0.611,0
10.4,1.023,0.173,0.606,0.185,25.8,25.8,-0.611,0
10.7,1.089,0.161,0.693,0.127,25.8,25.8,-0.611,0
11.0,1.145,0.141,0.740,0.080,25.8,25.8,-0.611,0
11.3,1.190,0.123,0.763,0.061,25.8,25.8,-0.611,0
11.6,1.227,0.111,0.774,0.062,25.8,25.8,-0.611,0
11.9,1.260,0.107,0.776,0.072,25.8,25.8,-0.611,0
12.2,1.290,0.110,0.774,0.089,25.8,25.8,-0.611,0
12.5,1.321,0.122,0.770,0.109,25.8,25.8,-0.611,0
12.8,1.354,0.141,0.764,0.132,25.8,25.8,-0.611,0
13.1,1.390,0.167,0.757,0.159,25.8,25.8,-0.611,0
13.4,1.431,0.201,0.749,0.190,25.8,25.8,-0.611,0
13.7,1.479,0.242,0.739,0.225,25.8,25.8,-0.611,0
14.0,1.533,0.293,0.726,0.264,25.8,25.8,-0.611,0
14.3,1.596,0.352,0.710,0.306,25.8,25.8,-0.611,0
14.6,1.668,0.421,0.688,0.351,25.8,25.8,-0.611,0
14.9,1.750,0.501,0.660,0.399,25.8,25.8,-0.611,0
15.2,1.844,0.590,0.626,0.449,25.8,25.8,-0.611,0
15.5,1.950,0.689,0.586,0.500,25.8,25.8,-0.611,0
15.8,2.071,0.795,0.540,0.552,25.8,25.8,-0.611,0
16.1,2.208,0.909,0.489,0.604,25.8,25.8,-0.611,0
16.4,2.361,1.027,0.432,0.655,25.8,25.8,-0.611,0
16.7,2.533,1.148,0.371,0.704,25.8,25.8,-0.611,0
17.0,2.723,1.268,0.306,0.751,25.8,25.8,-0.611,0
